"zhCN","zhTW","en","ja","ko","Key"
"助记词（备选)","助記詞（備選)","Mnemonic（Alternatives)","バックアップ助詞（代替品）","보조어","importFixTitle"
"仅针对旧版本单链助记词的导入","僅針對舊版本單鏈助記詞的導入","Only Target For Previous Version Single Chain Mnemonic Word Import","旧バージョン1本鎖助数詞のみの導入","이전 버전 단일 체인 연상어만 가져오기","importFixDesc"
"系统检测到您在旧版钱包存在私钥数据，是否导入到新版钱包？","系統檢測到您在舊版錢包存在私鑰數據，是否導入到新版錢包？","System have found private key data stored in your previous version of wallet, do you want to import new wallet?","システムはあなたが古いウォレットにプライベートキーデータが存在することを検出しましたが、新しいウォレットに導入されますか？","시스템에서 이전 지갑에 개인 키 데이터가 있음을 감지했습니다. 새 지갑으로 가져오시겠습니까?","databaseUpdateTip"
"立刻导入","立刻導入","Immediately Import","すぐ導入する","지금 가져오기","importRightNow"
"清除数据","清除數據","Clear Data","データを消去する","수를 지우다.","clearData"
"链接已复制到剪切板","鏈接已復製到剪切板","The link has been copied to the clipboard","リンクはカットボードにコピーされました","링크가 클립보드로 복사됨","copyToClipboardAndOpenBrowser"
"无法连接服务器，请检查网络","無法連接服務器，請檢查網絡","Unable to connect to the server, please check the network","サーバーに接続できませんので、インターネットをチェックしてください","서버에 연결할 수 없습니다. 네트워크를 확인하십시오.","unableconnectserver"
"矿工费太低","礦工費太低","The gas fee is too low","鉱工業費が低すぎる","광부비가 너무 낮다.","gasistoolow"
"恢复","恢復","Restore","復元","회복","recovery"
"未知","未知","Unknown","未知","미지","unknown"
"请选择网络","請選擇網絡","Please select network","ネットワークを選択してください","네트워크 선택","pleaseSelectANetwork"
"添加网络是HD身份钱包的亮点功能，它可以将用户的同一套助记词复用到其它区块链网络，生成私钥和地址。新增钱包的名称和密码与身份钱包相同。","添加網絡是HD身份錢包的亮點功能，它可以將用戶的同一套助記詞複用到其它區塊鏈網絡，生成私密金鑰和地址。 新增錢包的名稱和密碼與身份錢包相同。","Adding network is the highlight function of HD identity wallet. It can reuse the same set of mnemonics of users to other blockchain networks to generate private keys and addresses. The name and password of the new wallet are the same as the identity wallet.","ネットワーク追加は、HD識別ウォレットのハイライト機能であり、ユーザの同じセットのニーモニックコードを他のブロックチェーンネットワークに使って、プライベートキーとアドレスを生成することができる。ウォレットの名前とパスワードはアイデンティティウォレットと同じです。","네트워크 를 추가 하 는 것 은 HD 신분 지갑 의 하 이 라이트 기능 으로 사용자 의 같은 보조 단 어 를 다른 블록 체인 네트워크 에 재 활용 하여 비밀 키 와 주 소 를 생 성 할 수 있 습 니 다.새로 추 가 된 지갑 의 이름과 비밀 번 호 는 신분 지갑 과 같 습 니 다.","addingNetworkIsTheHighlightFunctionOfHDIdentityWalletItCanReuseTheSameSetOfMnemonicsOfUsersToOtherBlockchainNetworksToGeneratePrivateKeysAndAddressesTheNameAndPasswordOfTheNewWalletAreTheSameAsTheIdentityWallet"
"该DAPP只支持{}链，
您尚未拥有{}钱包，是否添加钱包？","該DAPP只支持{}鏈，
您尚未擁有{}錢包，是否添加錢包？","This DAPP only supports {} chain, 
 you don't have {} wallet yet. Whether to add wallet ？","このDAPPは{}チェーンだけをサポートしています。
あなたはまだ{}ウォレットを持っていません、ウォレット追加しますか","이 DAPP 는 {} 체인 만 지원 합 니 다. 
 {} 지갑 을 가지 고 있 지 않 습 니 다. 지갑 을 추가 하 시 겠 습 니까?","thisDAPPOnlySupportsChainYouDontHaveWalletYetDoYouWantToAddWallet"
"在线","線上","On-line","オンライン","온라인","online"
"离线","離線","Off-line","オフライン","오프라인","offline"
"打开DAPP","打開DAPP","Open DAPP","DAPPを開く","DAPP 열기","openDAPP"
"点开DAPP右上角的Connect Wallet，选择 WalletConnect；","點開DAPP右上角的Connect Wallet，選擇WalletConnect；","Click Connect wallet in the upper right corner of DAPP and select walletconnect;","DAPPの右上のConnect Walletをつけて、WalletConnectを選択します。","DAPP 오른쪽 상단 에 있 는 Connect Wallet 을 누 르 고 WalletConnect 를 선택 하 십시오.","clickConnectWalletInTheUpperRightCornerOfDAPPAndSelectWalletconnect"
"选择地址","選擇地址","Select Address","アドレスを選択","주소 선택","selectAddress"
"扫描成功后，选择你要连接的地址；","掃描成功後，選擇你要連接的地址；","After scanning succeed, select the address you want to connect;","スキャンに成功したら、接続するアドレスを選択します。","검색 에 성공 한 후 연결 할 주 소 를 선택 하 십시오.","afterSuccessfulScanningSelectTheAddressYouWantToConnect"
"确认连接","確認連接","Confirm Connection","接続の確認","연결 확인","confirmConnection"
"点击“授权连接“，DAPP将得到授权，可直接使用该地址进行转账交易。","點擊“授權連接“，DAPP將得到授權，可直接使用該地址進行轉帳交易。","Click ""Authorized Connection"", DAPP will be authorized to directly use this address for transfer transactions.","「接続を許可する」をクリックすると、DAPPは許可されます。直接にこのアドレスを使って送金取引ができます。","'권한 부여 연결' 을 누 르 면 DAPP 는 이 주 소 를 직접 이용 해 계좌 이체 거래 를 할 수 있 는 권한 을 부여 받는다.","clickAuthorizedConnectionDAPPWillBeAuthorizedToDirectlyUseThisAddressForTransferTransactions"
"请求连接","請求連接","Connection Request","接続を要求","연결 요청","requestConnection"
"权限","許可權","Authorization","パーミッション","권한","jurisdiction"
"允许查看地址余额和链上信息","允許查看地址餘額和鏈上資訊","Allows you to check balances in the address and information on-chain","アドレス残高とチェーン情報の表示を許可します。","주소 잔액 과 체인 정 보 를 볼 수 있 습 니 다.","allowsYouToViewAddressBalancesAndChainInformation"
"允许发生交易时向地址请求授权","允許發生交易時向地址請求授權","Allow to request authorization from the address when a transaction occurs","取引が許可されている場合は、アドレスに授権を要求します。","거래 가 발생 할 때 주소 에 권한 을 요청 할 수 있 도록 합 니 다.","permissionToRequestAuthorizationFromTheAddressWhenATransactionOccurs"
"授权不会泄露你的助记词和私钥","授權不會洩露你的助記詞和私密金鑰","Authorization will not reveal your mnemonics and private key","授権はあなたのニーモニックコードとプライベートキーを漏らしません。","권한 수 여 는 당신 의 보조 단어 와 비밀 키 를 누설 하지 않 습 니 다.","authorizationWillNotRevealYourMnemonicsAndPrivateKey"
"连接地址","連接地址","Connection address","接続アドレス","연결 주소","connectionAddress"
"授权连接","授權連接","Authorized connection","接続を許可する","권한 부여 연결","authorizedConnection"
"WalletConnect正在连接你的钱包······","WalletConnect正在連接你的錢包······","Walletconnect is connecting your wallet...","WalletConnectはあなたのウォレットに繋がっています略","WalletConnect 에서 지갑 을 연결 하고 있 습 니 다.","walletconnectIsConnectingYourWallet"
"连接钱包","連接錢包","Connect Wallet","接続ウォレット","지갑 연결","connectWallet"
"通过WalletConnect
协议连接DAPP授权，可快速交易","通過WalletConnect
協定連接DAPP授權，可快速交易","Connect DAPP authorization through walletconnect 
 protocol to promote fast transaction","WalletConnectプロトコルでDAPPに
接続して授権すると、速やかに取引ができます。","WalletConnect @ @ 프로 토 콜 을 통 해 DAPP 인증 을 연결 하면 빠 른 거래 가 가능 합 니 다.","connectDAPPAuthorizationThroughWalletconnectProtocolToFacilitateFastTransaction"
